Step,Susceptible,Exposed,Infected,Recovered
0,88192,28,4,1
1,88177,36,10,2
2,88142,64,14,5
3,88062,128,28,7
4,87904,256,55,10
5,87549,554,107,15
6,86788,1200,208,29
7,85791,1958,427,49
8,84047,3286,802,90
9,80554,6125,1366,180
10,75499,9968,2438,320
11,69952,13514,4204,555
12,64893,15920,6426,986
13,59963,17677,8952,1633
14,54891,19067,11737,2530
15,49130,20996,14382,3717
16,43848,22091,17182,5104
17,38015,23426,20000,6784
18,32306,24523,22599,8797
19,26954,24904,25253,11114
20,22597,24300,27700,13628
21,19083,22919,29823,16400
22,16404,20872,31570,19379
23,14365,18829,32579,22452
24,12872,16476,33166,25711
25,11789,14239,33145,29052
26,10929,12282,32669,32345
27,10283,10436,31950,35556
28,9775,8834,30836,38780
29,9374,7444,29649,41758
30,9055,6265,28259,44646
31,8785,5262,26765,47413
32,8544,4430,25204,50047
33,8379,3692,23569,52585
34,8225,3137,21946,54917
35,8103,2608,20376,57138
36,7972,2247,18823,59183
37,7872,1881,17372,61100
38,7778,1568,16055,62824
39,7677,1350,14862,64336
40,7618,1136,13571,65900
41,7553,955,12474,67243
42,7482,830,11379,68534
43,7429,724,10386,69686
44,7404,606,9416,70799
45,7354,524,8583,71764
46,7310,454,7832,72629
47,7281,402,7149,73393
48,7249,364,6471,74141
49,7219,307,5891,74808
50,7186,267,5393,75379
51,7166,238,4906,75915
52,7147,217,4461,76400
53,7113,207,4055,76850
54,7090,189,3705,77241
55,7073,170,3357,77625
56,7054,154,3028,77989
57,7030,138,2779,78278
58,7012,133,2541,78539
59,6994,126,2324,78781
60,6983,120,2109,79013
61,6965,109,1950,79201
62,6946,110,1776,79393
63,6942,92,1604,79587
64,6923,92,1442,79768
65,6914,85,1332,79894
66,6901,79,1213,80032
67,6894,76,1108,80147
68,6873,81,998,80273
69,6873,68,895,80389
70,6870,59,819,80477
71,6870,42,755,80558
72,6865,39,676,80645
73,6865,30,608,80722
74,6865,23,552,80785
75,6864,22,498,80841
76,6864,20,456,80885
77,6864,19,407,80935
78,6862,18,367,80978
79,6862,15,338,81010
80,6859,15,306,81045
81,6859,10,273,81083
82,6859,10,240,81116
83,6857,11,217,81140
84,6857,7,204,81157
85,6854,10,187,81174
86,6854,8,170,81193
87,6854,5,153,81213
88,6853,5,143,81224
89,6853,4,125,81243
90,6853,3,114,81255
91,6852,4,109,81260
92,6852,3,92,81278
93,6851,4,79,81291
94,6851,4,71,81299
95,6851,3,68,81303
96,6851,1,66,81307
97,6850,2,60,81313
98,6850,2,56,81317
99,6849,3,49,81324
100,6849,2,43,81331
101,6848,2,40,81335
102,6847,3,36,81339
103,6847,3,33,81342
104,6847,3,30,81345
105,6847,2,28,81348
106,6847,2,26,81350
107,6847,2,23,81353
108,6847,2,19,81357
109,6847,1,18,81359
110,6847,1,17,81360
111,6847,0,16,81362
112,6847,0,16,81362
113,6847,0,14,81364
114,6847,0,13,81365
115,6847,0,11,81367
116,6847,0,10,81368
117,6847,0,10,81368
118,6847,0,9,81369
119,6846,1,9,81369
120,6846,1,8,81370
121,6846,1,8,81370
122,6846,1,7,81371
123,6846,1,5,81373
124,6842,5,4,81374
125,6842,4,5,81374
126,6842,3,5,81375
127,6842,3,5,81375
128,6842,3,4,81376
129,6842,1,4,81378
130,6840,2,5,81378
131,6839,3,4,81379
132,6839,2,5,81379
133,6839,1,6,81379
134,6839,1,4,81381
135,6839,1,4,81381
136,6839,1,4,81381
137,6839,1,4,81381
138,6839,1,4,81381
139,6839,1,4,81381
140,6839,0,4,81382
141,6839,0,4,81382
142,6839,0,4,81382
143,6839,0,3,81383
144,6839,0,3,81383
145,6839,0,3,81383
146,6839,0,3,81383
147,6839,0,3,81383
148,6839,0,3,81383
149,6839,0,3,81383
150,6839,0,3,81383
151,6839,0,3,81383
152,6839,0,3,81383
153,6839,0,3,81383
154,6839,0,3,81383
155,6839,0,3,81383
156,6839,0,3,81383
157,6837,2,3,81383
158,6837,2,3,81383
159,6837,2,3,81383
160,6837,2,1,81385
161,6837,2,1,81385
162,6837,1,2,81385
163,6837,1,2,81385
164,6837,1,2,81385
165,6837,1,2,81385
166,6837,0,2,81386
167,6836,1,2,81386
168,6836,1,2,81386
169,6836,1,2,81386
170,6836,1,2,81386
171,6836,1,2,81386
172,6836,1,2,81386
173,6836,1,2,81386
174,6836,1,2,81386
175,6836,1,2,81386
176,6836,1,2,81386
177,6836,1,2,81386
178,6836,1,2,81386
179,6836,1,2,81386
