Step,Susceptible,Exposed,Infected,Recovered
0,88198,22,4,1
1,88188,30,6,1
2,88174,38,12,1
3,88140,65,17,3
4,88105,86,29,5
5,88025,139,53,8
6,87900,240,67,18
7,87758,333,107,27
8,87429,599,157,40
9,87207,711,254,53
10,86838,949,365,73
11,85840,1754,527,104
12,85074,2160,838,153
13,83629,3192,1168,236
14,81638,4585,1642,360
15,78983,6288,2438,516
16,75539,8519,3410,757
17,71452,10884,4812,1077
18,67440,12721,6525,1539
19,63742,13787,8510,2186
20,59933,14898,10311,3083
21,56418,15417,12246,4144
22,53243,15536,14094,5352
23,49963,15554,15988,6720
24,46153,16311,17422,8339
25,42797,16406,18854,10168
26,39772,16121,20302,12030
27,36433,16264,21406,14122
28,33218,16121,22633,16253
29,30275,15867,23524,18559
30,27288,15687,24330,20920
31,24618,15215,24994,23398
32,21956,14818,25650,25801
33,19783,13996,26025,28421
34,17777,13239,26220,30989
35,16019,12336,26283,33587
36,14592,11255,26108,36270
37,13347,10212,25837,38829
38,12259,9278,25271,41417
39,11315,8434,24524,43952
40,10556,7487,23814,46368
41,9907,6607,22984,48727
42,9325,5844,22084,50972
43,8704,5300,21040,53181
44,8261,4730,19916,55318
45,7913,4135,18848,57329
46,7575,3645,17742,59263
47,7305,3206,16706,61008
48,7060,2779,15607,62779
49,6857,2423,14597,64348
50,6677,2096,13632,65820
51,6468,1892,12711,67154
52,6316,1690,11726,68493
53,6210,1445,10904,69666
54,6124,1234,10119,70748
55,6002,1115,9354,71754
56,5919,974,8648,72684
57,5828,855,8053,73489
58,5738,773,7440,74274
59,5592,765,6838,75030
60,5498,713,6317,75697
61,5458,578,5873,76316
62,5367,567,5415,76876
63,5333,475,5004,77413
64,5301,409,4612,77903
65,5225,407,4223,78370
66,5168,385,3868,78804
67,5135,339,3554,79197
68,5096,305,3287,79537
69,5064,281,3018,79862
70,5002,295,2771,80157
71,4972,269,2529,80455
72,4955,232,2326,80712
73,4949,186,2158,80932
74,4925,182,1961,81157
75,4904,165,1829,81327
76,4868,172,1662,81523
77,4861,138,1535,81691
78,4849,131,1406,81839
79,4834,117,1298,81976
80,4817,106,1173,82129
81,4808,92,1089,82236
82,4794,84,1007,82340
83,4790,69,915,82451
84,4785,62,843,82535
85,4782,56,769,82618
86,4777,38,723,82687
87,4770,35,656,82764
88,4768,32,600,82825
89,4749,48,543,82885
90,4735,56,488,82946
91,4708,76,449,82992
92,4706,68,415,83036
93,4702,58,397,83068
94,4699,51,371,83104
95,4698,43,346,83138
96,4685,47,319,83174
97,4685,36,298,83206
98,4683,35,267,83240
99,4682,31,247,83265
100,4681,27,225,83292
101,4680,20,206,83319
102,4679,18,188,83340
103,4679,13,170,83363
104,4678,13,153,83381
105,4678,12,140,83395
106,4678,11,127,83409
107,4677,8,121,83419
108,4677,7,108,83433
109,4677,6,95,83447
110,4677,6,86,83456
111,4677,5,78,83465
112,4676,5,75,83469
113,4676,5,68,83476
114,4676,3,64,83482
115,4676,3,57,83489
116,4676,1,51,83497
117,4676,1,42,83506
118,4676,1,36,83512
119,4676,1,33,83515
120,4676,1,32,83516
121,4676,1,30,83518
122,4676,1,27,83521
123,4676,1,23,83525
124,4676,1,20,83528
125,4676,1,20,83528
126,4676,1,19,83529
127,4676,1,19,83529
128,4676,1,18,83530
129,4676,1,17,83531
130,4676,1,15,83533
131,4676,0,13,83536
132,4676,0,10,83539
133,4676,0,10,83539
134,4676,0,9,83540
135,4676,0,9,83540
136,4676,0,9,83540
137,4676,0,9,83540
138,4676,0,8,83541
139,4676,0,8,83541
140,4676,0,8,83541
141,4676,0,7,83542
142,4676,0,7,83542
143,4676,0,6,83543
144,4676,0,6,83543
145,4676,0,5,83544
146,4676,0,5,83544
147,4676,0,4,83545
148,4676,0,4,83545
149,4676,0,3,83546
150,4676,0,2,83547
151,4676,0,2,83547
152,4676,0,2,83547
153,4676,0,2,83547
154,4676,0,2,83547
155,4676,0,1,83548
156,4676,0,1,83548
157,4676,0,1,83548
158,4676,0,1,83548
159,4676,0,0,83549
160,4676,0,0,83549
161,4676,0,0,83549
162,4676,0,0,83549
163,4676,0,0,83549
164,4676,0,0,83549
165,4676,0,0,83549
166,4676,0,0,83549
167,4676,0,0,83549
168,4676,0,0,83549
169,4676,0,0,83549
170,4676,0,0,83549
171,4676,0,0,83549
172,4676,0,0,83549
173,4676,0,0,83549
174,4676,0,0,83549
175,4676,0,0,83549
176,4676,0,0,83549
177,4676,0,0,83549
178,4676,0,0,83549
179,4676,0,0,83549
