Step,Susceptible,Exposed,Infected,Recovered
0,88191,29,5,0
1,88168,47,10,0
2,88123,79,22,1
3,87760,427,36,2
4,87412,686,120,7
5,86767,1175,265,18
6,85388,2324,470,43
7,83012,4243,873,97
8,79490,6960,1598,177
9,74185,10833,2873,334
10,68629,14249,4719,628
11,63447,16576,7123,1079
12,57932,18804,9707,1782
13,52609,20448,12372,2796
14,47058,21855,15280,4032
15,41372,23051,18275,5527
16,34592,25272,21051,7310
17,28286,26562,23963,9414
18,23116,26298,27030,11781
19,18353,25762,29678,14432
20,14643,24217,31906,17459
21,11683,22333,33634,20575
22,9639,19898,34729,23959
23,8033,17549,35231,27412
24,6829,15204,35214,30978
25,5842,13169,34725,34489
26,5076,11235,33952,37962
27,4348,9742,32696,41439
28,3893,8173,31403,44756
29,3453,6965,29884,47923
30,3111,5930,28215,50969
31,2801,5088,26557,53779
32,2608,4260,24911,56446
33,2451,3562,23199,59013
34,2306,2984,21601,61334
35,2110,2533,20170,63412
36,1936,2181,18721,65387
37,1829,1839,17326,67231
38,1705,1585,16014,68921
39,1639,1329,14719,70538
40,1541,1172,13534,71978
41,1451,1016,12415,73343
42,1378,898,11355,74594
43,1319,776,10434,75696
44,1269,677,9552,76727
45,1225,562,8687,77751
46,1186,492,7928,78619
47,1155,422,7249,79399
48,1113,395,6572,80145
49,1100,332,5963,80830
50,1087,295,5419,81424
51,1070,237,4956,81962
52,1049,224,4531,82421
53,1037,179,4151,82858
54,1019,168,3768,83270
55,1001,150,3442,83632
56,978,147,3108,83992
57,959,137,2810,84319
58,954,120,2534,84617
59,944,104,2303,84874
60,932,94,2078,85121
61,918,94,1852,85361
62,907,86,1686,85546
63,907,66,1520,85732
64,904,58,1375,85888
65,894,54,1244,86033
66,889,46,1135,86155
67,877,48,1027,86273
68,877,32,927,86389
69,876,25,841,86483
70,867,30,754,86574
71,867,25,682,86651
72,866,20,618,86721
73,859,23,561,86782
74,858,23,510,86834
75,853,24,468,86880
76,853,18,417,86937
77,851,19,384,86971
78,849,16,350,87010
79,846,14,311,87054
80,846,13,287,87079
81,846,10,252,87117
82,845,8,220,87152
83,841,12,199,87173
84,836,14,177,87198
85,836,13,157,87219
86,836,11,144,87234
87,836,8,134,87247
88,835,9,120,87261
89,835,8,110,87272
90,832,9,104,87280
91,832,5,101,87287
92,830,5,89,87301
93,830,4,81,87310
94,830,3,78,87314
95,830,3,73,87319
96,830,2,67,87326
97,830,1,61,87333
98,830,1,58,87336
99,830,1,51,87343
100,830,1,46,87348
101,830,1,42,87352
102,830,1,33,87361
103,830,1,31,87363
104,830,0,27,87368
105,830,0,24,87371
106,830,0,21,87374
107,830,0,19,87376
108,830,0,16,87379
109,830,0,15,87380
110,830,0,14,87381
111,830,0,13,87382
112,830,0,12,87383
113,830,0,12,87383
114,830,0,11,87384
115,830,0,11,87384
116,830,0,9,87386
117,828,2,9,87386
118,828,1,10,87386
119,828,1,8,87388
120,828,0,8,87389
121,828,0,8,87389
122,828,0,6,87391
123,828,0,6,87391
124,828,0,6,87391
125,828,0,6,87391
126,828,0,6,87391
127,828,0,6,87391
128,828,0,5,87392
129,828,0,4,87393
130,828,0,4,87393
131,828,0,4,87393
132,828,0,4,87393
133,828,0,4,87393
134,828,0,4,87393
135,828,0,3,87394
136,828,0,2,87395
137,828,0,2,87395
138,828,0,2,87395
139,828,0,2,87395
140,828,0,2,87395
141,828,0,2,87395
142,828,0,2,87395
143,828,0,2,87395
144,828,0,2,87395
145,828,0,2,87395
146,828,0,2,87395
147,828,0,2,87395
148,828,0,2,87395
149,828,0,2,87395
150,828,0,2,87395
151,828,0,2,87395
152,828,0,2,87395
153,828,0,2,87395
154,828,0,2,87395
155,828,0,2,87395
156,828,0,2,87395
157,828,0,1,87396
158,828,0,1,87396
159,828,0,1,87396
160,828,0,1,87396
161,828,0,1,87396
162,828,0,1,87396
163,828,0,1,87396
164,828,0,1,87396
165,828,0,1,87396
166,828,0,1,87396
167,828,0,0,87397
168,828,0,0,87397
169,828,0,0,87397
170,828,0,0,87397
171,828,0,0,87397
172,828,0,0,87397
173,828,0,0,87397
174,828,0,0,87397
175,828,0,0,87397
176,828,0,0,87397
177,828,0,0,87397
178,828,0,0,87397
179,828,0,0,87397
