Step,Susceptible,Exposed,Infected,Recovered
0,88190,30,5,0
1,88170,45,10,0
2,88114,90,20,1
3,88013,175,31,6
4,87859,299,58,9
5,87627,471,117,10
6,87156,838,209,22
7,86431,1389,370,35
8,85290,2236,638,61
9,83051,4037,1004,133
10,79377,6867,1753,228
11,74310,10515,2987,413
12,69045,13683,4769,728
13,64342,15706,6976,1201
14,60751,16181,9421,1872
15,56347,17243,11815,2820
16,52515,17674,14040,3996
17,48403,18168,16339,5315
18,44376,18687,18203,6959
19,39473,19799,20194,8759
20,34802,20502,22104,10817
21,30567,20668,23929,13061
22,26391,20845,25466,15523
23,22147,20911,27116,18051
24,18309,20585,28583,20748
25,15229,19557,29828,23611
26,12490,18328,30900,26507
27,10253,16948,31370,29654
28,8654,15148,31652,32771
29,7230,13550,31545,35900
30,6142,11964,31070,39049
31,5171,10515,30394,42145
32,4496,8986,29511,45232
33,3926,7725,28376,48198
34,3445,6649,27137,50994
35,3105,5680,25798,53642
36,2764,4907,24329,56225
37,2499,4169,22837,58720
38,2261,3586,21350,61028
39,2072,3121,19835,63197
40,1967,2620,18454,65184
41,1834,2252,17118,67021
42,1723,1935,15885,68682
43,1643,1612,14764,70206
44,1527,1401,13649,71648
45,1442,1190,12628,72965
46,1371,1034,11613,74207
47,1320,894,10592,75419
48,1273,753,9717,76482
49,1207,678,8834,77506
50,1159,600,8098,78368
51,1123,523,7397,79182
52,1096,438,6732,79959
53,1051,392,6155,80627
54,1025,338,5606,81256
55,1011,280,5111,81823
56,980,257,4656,82332
57,941,253,4235,82796
58,922,218,3832,83253
59,914,183,3524,83604
60,906,162,3186,83971
61,895,132,2894,84304
62,886,114,2618,84607
63,885,86,2402,84852
64,879,76,2188,85082
65,876,56,1989,85304
66,872,51,1784,85518
67,863,54,1622,85686
68,861,42,1501,85821
69,853,43,1372,85957
70,852,33,1238,86102
71,845,34,1134,86212
72,842,31,1008,86344
73,841,25,912,86447
74,838,22,820,86545
75,828,30,744,86623
76,819,34,668,86704
77,818,28,612,86767
78,815,25,551,86834
79,815,24,495,86891
80,812,24,453,86936
81,812,20,409,86984
82,811,16,379,87019
83,809,12,344,87060
84,809,12,304,87100
85,809,12,273,87131
86,809,9,247,87160
87,809,8,225,87183
88,809,5,201,87210
89,809,4,185,87227
90,809,4,168,87244
91,808,5,158,87254
92,808,3,132,87282
93,808,3,125,87289
94,808,2,119,87296
95,808,1,110,87306
96,806,3,103,87313
97,806,2,95,87322
98,806,2,86,87331
99,806,2,74,87343
100,803,5,67,87350
101,803,5,58,87359
102,803,5,49,87368
103,803,4,45,87373
104,803,4,38,87380
105,803,3,35,87384
106,803,2,33,87387
107,803,1,31,87390
108,803,1,30,87391
109,803,1,27,87394
110,803,1,27,87394
111,803,1,25,87396
112,803,1,22,87399
113,803,1,18,87403
114,803,1,17,87404
115,803,1,15,87406
116,803,0,16,87406
117,803,0,15,87407
118,803,0,13,87409
119,803,0,12,87410
120,803,0,10,87412
121,803,0,10,87412
122,803,0,9,87413
123,803,0,8,87414
124,803,0,8,87414
125,803,0,7,87415
126,803,0,6,87416
127,803,0,5,87417
128,803,0,3,87419
129,803,0,3,87419
130,803,0,3,87419
131,803,0,3,87419
132,803,0,3,87419
133,803,0,3,87419
134,803,0,2,87420
135,803,0,2,87420
136,803,0,1,87421
137,803,0,1,87421
138,803,0,1,87421
139,803,0,1,87421
140,803,0,1,87421
141,803,0,0,87422
142,803,0,0,87422
143,803,0,0,87422
144,803,0,0,87422
145,803,0,0,87422
146,803,0,0,87422
147,803,0,0,87422
148,803,0,0,87422
149,803,0,0,87422
150,803,0,0,87422
151,803,0,0,87422
152,803,0,0,87422
153,803,0,0,87422
154,803,0,0,87422
155,803,0,0,87422
156,803,0,0,87422
157,803,0,0,87422
158,803,0,0,87422
159,803,0,0,87422
160,803,0,0,87422
161,803,0,0,87422
162,803,0,0,87422
163,803,0,0,87422
164,803,0,0,87422
165,803,0,0,87422
166,803,0,0,87422
167,803,0,0,87422
168,803,0,0,87422
169,803,0,0,87422
170,803,0,0,87422
171,803,0,0,87422
172,803,0,0,87422
173,803,0,0,87422
174,803,0,0,87422
175,803,0,0,87422
176,803,0,0,87422
177,803,0,0,87422
178,803,0,0,87422
179,803,0,0,87422
